acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,liked
0.0551,0.7,0.917,0.0248,F,0.118,-5.678,minor,0.0986,150.011,4,0.386,True
0.034,0.69,0.986,0.801,A,0.066,-4.399,major,0.0611,175.046,4,0.488,True
0.0645,0.624,0.975,0.0129,A#,0.364,-2.068,minor,0.131,154.997,4,0.147,True
0.000585,0.327,0.953,0.000064,C#,0.0813,-5.657,major,0.462,144.415,4,0.143,True
0.00743,0.564,0.995,0.0121,G,0.398,-3.583,major,0.192,160.03,4,0.303,True
0.0561,0.45,0.942,0,E,0.15,-3.059,minor,0.0728,160.065,4,0.304,True
0.0704,0.509,0.761,0.462,C#,0.134,-9.478,major,0.126,150.093,4,0.133,True
0.145,0.561,0.971,0.00027,G,0.0531,-1.914,major,0.413,159.882,4,0.352,True
0.00149,0.519,0.959,0.712,B,0.202,-6.89,minor,0.0487,150.03,4,0.406,True
0.00232,0.46,0.981,0.000105,G#,0.174,-2.412,minor,0.333,160.214,4,0.206,True
0.00632,0.686,0.946,0.00149,B,0.295,-1.353,major,0.044,100.016,4,0.312,True
0.0374,0.683,0.957,0.17,C#,0.17,-2.393,major,0.0577,94.973,4,0.256,True
0.132,0.319,0.865,0,D,0.135,-2.526,minor,0.0415,155.133,4,0.0832,True
0.0769,0.58,0.96,0.000008,E,0.275,-1.57,minor,0.416,159.996,4,0.208,True
0.0352,0.459,0.873,0.000741,A#,0.0995,-4.104,minor,0.1,155.06,4,0.236,True
0.0015,0.419,0.826,0.0105,C#,0.319,-5.692,major,0.185,156.917,4,0.212,True
0.00434,0.713,0.969,0.0432,G,0.655,-3.692,major,0.23,100.003,4,0.0397,True
0.414,0.711,0.996,0.000004,A#,0.924,0.654,minor,0.46,110.128,3,0.0759,True
0.000292,0.459,0.893,0.000592,B,0.595,-3.679,major,0.145,159.981,4,0.152,True
0.00967,0.573,0.946,0.774,G,0.674,-5.372,major,0.0487,165.025,4,0.429,True
0.000206,0.557,0.971,0.000973,G,0.32,-2.236,major,0.0863,109.97,4,0.226,True
0.0107,0.4,0.991,0,C#,0.891,1.18,major,0.438,100.015,4,0.253,True
0.0089,0.484,0.935,0.133,C,0.394,-1.868,major,0.459,154.984,4,0.0552,True
0.0973,0.696,0.978,0,A#,0.0984,-5.313,minor,0.141,99.942,4,0.283,True
0.0917,0.532,0.942,0,A,0.122,-2.777,major,0.22,159.929,4,0.358,True
0.0262,0.721,0.972,0.0332,D,0.266,-0.859,major,0.326,155.003,4,0.4,True
0.0234,0.63,0.946,0.0144,G,0.257,-0.819,major,0.0861,99.963,4,0.21,True
0.0303,0.757,0.98,0.675,G#,0.218,-4.671,minor,0.383,166.701,4,0.468,True
0.00951,0.685,0.857,0.226,B,0.0662,-7.907,minor,0.084,154.996,4,0.41,True
0.00192,0.519,0.852,0.0529,F#,0.348,-4.13,major,0.211,75.004,4,0.212,True
0.00514,0.564,0.973,0.000724,G#,0.102,-5.367,major,0.188,155.054,4,0.258,True
0.0742,0.642,0.57,0.579,G,0.0408,-7.958,minor,0.0503,149.958,4,0.131,True
0.0311,0.442,0.895,0.000003,A#,0.526,-8.242,minor,0.227,155.274,4,0.157,True
0.00607,0.404,0.924,0.566,A,0.364,-5.463,minor,0.107,149.942,4,0.215,True
0.0272,0.441,0.944,0.933,A#,0.362,-5.738,minor,0.0405,149.966,4,0.357,True
0.0772,0.502,0.956,0.00194,C#,0.0455,-4.445,minor,0.0874,150.018,4,0.266,True
0.03,0.529,0.937,0.000129,F,0.151,-3.398,minor,0.0467,149.999,4,0.542,True
0.00142,0.348,0.964,0.00012,D,0.951,-2.453,major,0.0559,154.894,4,0.456,True
0.0104,0.53,0.99,0.000029,B,0.664,-2.298,major,0.161,150.144,4,0.53,True
0.11,0.535,0.889,0.559,D,0.331,-3.765,major,0.0655,149.987,4,0.315,True
0.000584,0.721,0.965,0.81,C,0.167,-6.176,major,0.122,148.018,4,0.322,True
0.0113,0.799,0.878,0.035,C#,0.583,-6.929,minor,0.0777,148.005,4,0.161,True
0.278,0.693,0.864,0.0388,E,0.0777,-4.17,minor,0.0483,149.998,4,0.142,True
0.00297,0.607,0.875,0.0481,G,0.0645,-5.417,major,0.105,149.991,4,0.189,True
0.0561,0.571,0.8,0.339,B,0.185,-6.797,minor,0.0408,149.963,4,0.367,True
0.0127,0.448,0.959,0.000015,B,0.346,-4.792,minor,0.554,155.03,4,0.0437,True
0.00133,0.747,0.694,0.701,F#,0.0555,-7.482,major,0.0723,144.995,4,0.412,True
0.000791,0.463,0.968,0.000076,D,0.337,-3.157,major,0.428,150.07,4,0.121,True
0.00192,0.594,0.919,0.105,F#,0.379,-6.912,minor,0.0771,150.047,4,0.236,True
0.00588,0.746,0.924,0.0252,B,0.474,-6.881,minor,0.0766,150.006,4,0.742,True
0.0121,0.519,0.896,0.21,F,0.35,-6.46,minor,0.059,150.108,4,0.404,True
0.0137,0.792,0.631,0.376,F#,0.351,-7.277,minor,0.108,149.983,4,0.0482,True
0.298,0.552,0.594,0.000062,D,0.262,-6.449,major,0.0306,149.907,4,0.287,True
0.00356,0.808,0.986,0.563,D,0.0261,-4.963,major,0.276,144.97,4,0.136,True
0.0139,0.327,0.963,0,C#,0.187,-2.877,major,0.065,150.036,4,0.0787,True
0.0361,0.707,0.995,0.75,A,0.852,-6.367,minor,0.191,149.999,4,0.0783,True
0.0036,0.566,0.937,0.196,C#,0.237,-2.632,major,0.271,175.001,4,0.238,True
0.0293,0.69,0.974,0.00771,F,0.19,-0.952,minor,0.0812,99.99,4,0.312,True
0.241,0.558,0.989,0.000151,C#,0.904,-0.378,major,0.419,180.112,4,0.0431,True
0.0866,0.674,0.965,0.0547,G,0.123,-2.574,major,0.0564,165.029,4,0.277,True
0.00797,0.489,0.981,0.145,C,0.0956,-4.429,major,0.0526,99.985,4,0.225,True
0.166,0.565,0.981,0.0428,G,0.756,-1.099,major,0.055,92.447,4,0.381,True
0.0888,0.288,0.988,0.000718,F,0.179,-0.645,major,0.129,100.019,1,0.0376,True
0.062,0.641,0.968,0.134,G#,0.312,-0.539,major,0.116,95.003,4,0.193,True
0.000864,0.565,0.985,0.000609,E,0.237,-0.642,minor,0.0416,100.004,4,0.0799,True
0.0337,0.701,0.997,0.115,E,0.1,-0.13,minor,0.161,104.998,4,0.0827,True
0.0117,0.71,0.999,0.0559,F,0.382,-3.863,minor,0.294,120.029,4,0.0498,True
0.0607,0.584,0.994,0.00037,B,0.323,3.16,minor,0.126,134.933,4,0.107,True
0.135,0.592,0.959,0.000103,C#,0.138,-0.292,major,0.143,107.529,4,0.208,True
0.000232,0.526,0.968,0,F#,0.372,-1.285,major,0.14,115.096,4,0.311,True
0.0445,0.644,0.987,0.000678,G,0.0919,0.525,major,0.422,170.076,4,0.299,True
0.0132,0.576,0.963,0.00187,D,0.383,-1.355,major,0.123,95.001,4,0.109,True
0.000465,0.585,0.989,0.000236,D#,0.102,1.597,minor,0.0505,114.985,4,0.163,True
0.00359,0.616,0.993,0.43,C#,0.224,-0.562,major,0.101,115.026,4,0.161,True
0.101,0.438,0.98,0.00526,G,0.572,-2.215,major,0.171,103.751,4,0.0411,True
0.0431,0.624,0.998,0.196,D,0.587,1.55,major,0.15,102.536,4,0.108,True
0.0682,0.339,0.95,0.000004,F#,0.103,-2.805,minor,0.448,185.091,4,0.0951,True
0.00209,0.587,0.949,0.00163,A#,0.171,-3.901,minor,0.0516,107.955,4,0.248,True
0.00447,0.333,0.985,0,F#,0.241,-1.844,minor,0.471,180.092,4,0.0583,True
0.117,0.649,0.999,0.000503,G,0.361,1.643,major,0.319,95.032,3,0.116,True
0.000145,0.464,0.936,0.00516,C#,0.305,-6.864,minor,0.0349,167.983,4,0.294,True
0.0267,0.707,0.996,0.0281,F,0.0787,0.551,major,0.164,100.062,4,0.192,True
0.198,0.753,0.991,0.761,A,0.115,-1.599,major,0.107,99.999,4,0.448,True
0.236,0.606,0.979,0,A,0.531,-0.413,major,0.286,94.973,4,0.207,True
0.0103,0.508,0.865,0.677,C#,0.0738,-6.433,major,0.0909,170.028,4,0.215,True
0.000984,0.529,0.962,0.000109,A,0.886,-5.776,minor,0.24,174.971,4,0.162,True
0.0232,0.587,0.924,0.000004,F#,0.126,-3.645,major,0.0678,157.01,4,0.324,True
0.022,0.535,0.971,0.156,B,0.282,-3.323,minor,0.0544,88.512,4,0.4,True
0.00128,0.795,0.959,0.348,A,0.122,-5.706,major,0.235,144.977,4,0.235,True
0.00612,0.712,0.985,0.0092,G#,0.0926,-2.768,major,0.148,145.021,4,0.411,True
0.00608,0.422,0.95,0.518,A#,0.0681,-5.805,minor,0.103,175.026,4,0.329,True
0.19,0.562,0.908,0.00019,C,0.292,-2.844,major,0.0924,94.988,4,0.249,True
0.00662,0.642,0.996,0.75,F,0.181,-4.343,minor,0.0557,144.993,4,0.161,True
0.000043,0.434,0.987,0.733,A,0.0525,-4.897,minor,0.187,169.919,4,0.273,True
0.158,0.667,0.715,0.26,B,0.479,-9.468,minor,0.134,156.515,4,0.159,True
0.151,0.503,0.949,0.941,D,0.134,-8.727,minor,0.103,160.007,4,0.038,True
0.0127,0.489,0.96,0.433,F#,0.223,-2.915,major,0.372,185.103,4,0.211,True
0.261,0.585,0.916,0.738,C#,0.0936,-6.791,minor,0.0701,188.983,4,0.688,True
0.0359,0.461,0.961,0.0404,C#,0.19,-1.616,major,0.444,177.996,4,0.321,True
0.000667,0.657,0.778,0.648,D,0.133,-6.548,major,0.0548,142.057,4,0.473,True
0.000064,0.49,0.874,0.864,F#,0.0977,-4.616,minor,0.0675,145.011,4,0.2,True
0.0114,0.437,0.985,0.00691,A,0.32,-2.095,minor,0.149,174.952,4,0.0548,True
0.0416,0.724,0.745,0.877,C,0.0727,-9.519,major,0.0574,137.994,4,0.526,True
0.0014,0.445,0.92,0,C#,0.249,-3.645,major,0.208,169.948,4,0.0817,True
0.0138,0.539,0.976,0.0669,F,0.265,-2.099,minor,0.102,159.907,4,0.385,True
0.349,0.673,0.858,0,B,0.769,-2.236,minor,0.221,74.939,4,0.804,True
0.214,0.44,0.895,0.884,C,0.715,-1.795,minor,0.148,180.646,4,0.329,True
0.0507,0.605,0.732,0.023,F#,0.423,-5.839,minor,0.382,156.969,4,0.36,True
0.0289,0.638,0.947,0.0275,F,0.504,-2.554,minor,0.227,170.262,4,0.467,True
0.00042,0.549,0.988,0.631,C,0.954,-5.257,major,0.559,181.917,4,0.0386,True
0.00154,0.372,0.973,0.000956,E,0.36,-5.125,minor,0.166,156.142,4,0.192,True
0.0918,0.48,0.997,0.238,F,0.68,-3.73,major,0.0773,182.01,4,0.459,True
0.0526,0.393,0.967,0.000074,E,0.354,-1.555,minor,0.365,154.972,4,0.232,True
0.000036,0.472,0.912,0.92,F#,0.0948,-7.913,major,0.0456,162.993,4,0.488,True
0.133,0.619,0.985,0.00187,C#,0.353,-1.429,major,0.209,97.489,4,0.163,True
0.000243,0.447,0.963,0.972,C#,0.385,-6.412,minor,0.104,160.041,4,0.0288,True
0.00188,0.516,0.996,0.812,C#,0.236,-2.575,minor,0.138,159.84,4,0.478,True
0.00496,0.659,0.895,0.0459,A#,0.109,-4.493,minor,0.0631,178.816,4,0.0375,True
0.024,0.498,0.878,0.682,B,0.345,-4.802,minor,0.0537,94.454,4,0.0377,True
0.00387,0.695,0.676,0.901,C,0.117,-7.881,major,0.0565,104.968,4,0.0953,True
0.0446,0.506,0.948,0.0862,A#,0.392,-8.397,minor,0.0471,173.141,4,0.63,True
0.347,0.725,0.892,0.0154,G,0.177,-13.915,major,0.286,170.06,4,0.186,True
0.144,0.68,0.964,0.000129,A#,0.13,-0.445,minor,0.179,151.95,4,0.108,True
0.0107,0.752,0.798,0.81,F#,0.0516,-8.954,major,0.0729,174.081,4,0.0908,True
0.0623,0.674,0.961,0.895,C,0.0844,-10.188,minor,0.0624,150.045,4,0.124,True
0.012,0.608,0.997,0.119,F#,0.315,-1.179,major,0.1,110.008,4,0.491,True
0.000597,0.55,0.865,0.241,G,0.869,-8.509,minor,0.0937,162.985,4,0.286,True
0.00563,0.688,0.985,0.725,G,0.132,-4.049,major,0.096,142.001,4,0.492,True
0.0396,0.602,0.948,0.000001,A,0.186,-3.372,minor,0.0502,149.933,4,0.812,True
0.0922,0.365,0.963,0.00012,A#,0.107,-3.511,minor,0.402,155.052,4,0.132,True
0.0142,0.671,0.882,0.000237,D,0.534,-7.234,major,0.256,170.072,4,0.362,True
0.147,0.385,0.576,0.94,E,0.161,-8.443,minor,0.0286,145.068,4,0.0374,True
