,name,artists,uri,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,liked
0,Adagio For Strings,['Tiësto'],spotify:track:74G9CbGMcRwBTZtGTXss55,0.0408,0.591,0.925,0.538,10,0.0853,-8.515,0,0.0548,139.976,4,0.181,True
1,Exploration Of Space,['Cosmic Gate'],spotify:track:3SBvSdQhQiC0Z07A9Be02F,0.0269,0.632,0.912,0.684,9,0.0654,-7.586,0,0.0365,138.035,4,0.323,True
2,Universal Nation - Original Mix,['Push'],spotify:track:34PgbZHudjUapNEqsb1WcW,0.632,0.702,0.733,0.919,8,0.0913,-12.023,1,0.0447,138.004,4,0.299,True
3,Surrender,['Purple Haze'],spotify:track:1lGpbCtlYFP0DmbdUNZ5Qy,0.00707,0.64,0.895,0.274,4,0.231,-3.443,0,0.0712,130.038,4,0.0546,True
4,Sweater Weather,['Jomarijan'],spotify:track:77y3caTFtC3n4tGgyPUF87,0.0118,0.559,0.85,1.57e-05,8,0.115,-5.276,1,0.0596,155.064,4,0.33,True
5,Allermooiste Feestje,"['Yellow Claw', 'Mr. Polska', 'Ronnie Flex']",spotify:track:0tmD6R1uocHMtognFOqUuJ,0.00938,0.604,0.938,5.88e-06,1,0.243,-2.527,0,0.0703,150.001,4,0.476,True
6,Vlammen (Totally summer anthem),['Mr. Polska'],spotify:track:4NgEAM7UwWwFJYrgXaQINm,0.00498,0.659,0.913,0.00399,1,0.101,-4.236,1,0.0531,150.002,4,0.579,True
7,Techno (feat. Waka Flocka Flame),"['Yellow Claw', 'Diplo', 'LNY TNZ', 'Waka Flocka Flame']",spotify:track:1fnlUPzKQ0DnChntJy08VN,0.00505,0.668,0.911,0.000126,4,0.327,-4.157,0,0.0593,150.03,4,0.655,True
8,Stereophobia - Original Mix,['Dark Oscillators'],spotify:track:2H7vb0rIZG5Q9RAFp4Vzyo,0.000584,0.721,0.965,0.81,0,0.167,-6.176,1,0.122,148.018,4,0.322,True
9,Oh My God - Technoboy Dib Dub,"['Technoboy', 'Shayla']",spotify:track:1APAuluB0fEvfLQK46N2af,0.00588,0.746,0.924,0.0252,11,0.474,-6.881,0,0.0766,150.006,4,0.742,True
10,Like a Slut - Extended Mix,['Activator'],spotify:track:12ZuZqfI8tWdP4v9OcuFQF,0.00356,0.808,0.986,0.563,2,0.0261,-4.963,1,0.276,144.97,4,0.136,True
11,Rock Civilization - Original Mix,['Headhunterz'],spotify:track:43LQCjsx42u7PJIcUyvTsf,0.0361,0.707,0.995,0.75,9,0.852,-6.367,0,0.191,149.999,4,0.0783,True
12,High Rollerz - Original Mix,"['The Prophet', 'Headhunterz']",spotify:track:3z3JBhe3oolO8u2aiBGtF1,0.0113,0.799,0.878,0.035,1,0.583,-6.929,0,0.0777,148.005,4,0.161,True
13,One Blade - Noisecontrollers RMX,['Brennan Heart'],spotify:track:0gzz5IUTBhlRYP0RXjzaUw,0.0742,0.642,0.57,0.579,7,0.0408,-7.958,0,0.0503,149.958,4,0.131,True
14,CTRL.ALT.DELETE (In Qontrol Anthem 2009) - Original Mix,['Noisecontrollers'],spotify:track:1HEJz0gvpMUvpNLVEYEBtz,0.0551,0.7,0.917,0.0248,5,0.118,-5.678,0,0.0986,150.011,4,0.386,True
